18.00 -114.00 -62.00 | 41.00 -58.00 -69.00
45.00 -110.00 -8.00 | 50.00 -61.00 -6.00
46.00 -110.00 -11.00 | 51.00 -62.00 -6.00
46.00 -109.00 -12.00 | 51.00 -62.00 -10.00
46.00 -109.00 -15.00 | 50.00 -64.00 -15.00
44.00 -111.00 -22.00 | 48.00 -64.00 -17.00
43.00 -112.00 -24.00 | 45.00 -65.00 -24.00
39.00 -112.00 -32.00 | 42.00 -66.00 -31.00
39.00 -112.00 -37.00 | 41.00 -66.00 -35.00
35.00 -111.00 -42.00 | 39.00 -66.00 -39.00
35.00 -111.00 -46.00 | 37.00 -65.00 -45.00
34.00 -110.00 -48.00 | 34.00 -65.00 -49.00
30.00 -111.00 -52.00 | 32.00 -65.00 -50.00
28.00 -111.00 -55.00 | 27.00 -66.00 -53.00
23.00 -111.00 -59.00 | 23.00 -66.00 -57.00
22.00 -110.00 -61.00 | 22.00 -65.00 -59.00
19.00 -111.00 -62.00 | 17.00 -65.00 -62.00
15.00 -109.00 -66.00 | 13.00 -64.00 -65.00
15.00 -108.00 -67.00 | 11.00 -64.00 -67.00


14.00 -108.00 -70.00 | 11.00 -66.00 -64.00
19.00 -108.00 -68.00 | 15.00 -66.00 -63.00
16.00 -109.00 -69.00 | 14.00 -65.00 -62.00
18.00 -108.00 -68.00 | 17.00 -65.00 -62.00
21.00 -107.00 -68.00 | 18.00 -64.00 -62.00
21.00 -107.00 -69.00 | 18.00 -64.00 -64.00
15.00 -105.00 -75.00 | 12.00 -64.00 -68.00
11.00 -104.00 -77.00 | 8.00 -63.00 -70.00
9.00 -104.00 -78.00 | 5.00 -62.00 -72.00
6.00 -103.00 -79.00 | 1.00 -63.00 -73.00
1.00 -103.00 -81.00 | -1.00 -62.00 -73.00
-3.00 -102.00 -83.00 | -7.00 -61.00 -75.00
-6.00 -101.00 -86.00 | -9.00 -59.00 -78.00
-8.00 -100.00 -86.00 | -12.00 -59.00 -80.00
-10.00 -98.00 -89.00 | -15.00 -58.00 -80.00
-13.00 -98.00 -88.00 | -18.00 -59.00 -80.00
-15.00 -99.00 -88.00 | -19.00 -57.00 -80.00
-20.00 -98.00 -89.00 | -23.00 -57.00 -79.00
-22.00 -98.00 -87.00 | -26.00 -57.00 -79.00
-27.00 -98.00 -87.00 | -29.00 -56.00 -77.00
-30.00 -98.00 -87.00 | -33.00 -56.00 -78.00
-31.00 -98.00 -86.00 | -33.00 -56.00 -76.00
-36.00 -98.00 -85.00 | -38.00 -55.00 -76.00
-40.00 -97.00 -86.00 | -43.00 -54.00 -75.00
-45.00 -96.00 -85.00 | -46.00 -52.00 -75.00
-46.00 -95.00 -84.00 | -48.00 -52.00 -74.00
-50.00 -95.00 -83.00 | -52.00 -51.00 -72.00
-54.00 -96.00 -81.00 | -52.00 -51.00 -70.00
-54.00 -96.00 -79.00 | -57.00 -50.00 -67.00
-59.00 -96.00 -75.00 | -62.00 -50.00 -63.00
-62.00 -96.00 -73.00 | -63.00 -50.00 -61.00
-65.00 -96.00 -71.00 | -68.00 -49.00 -58.00
-69.00 -94.00 -67.00 | -71.00 -47.00 -54.00
-71.00 -95.00 -66.00 | -71.00 -47.00 -54.00
-73.00 -95.00 -63.00 | -74.00 -46.00 -49.00
-77.00 -95.00 -58.00 | -76.00 -46.00 -44.00
-78.00 -94.00 -55.00 | -78.00 -45.00 -41.00
-79.00 -94.00 -53.00 | -79.00 -45.00 -40.00
-81.00 -94.00 -50.00 | -80.00 -44.00 -35.00
-83.00 -94.00 -45.00 | -81.00 -44.00 -31.00
-83.00 -94.00 -45.00 | -82.00 -43.00 -30.00
-85.00 -94.00 -41.00 | -83.00 -43.00 -26.00
-86.00 -93.00 -38.00 | -84.00 -42.00 -23.00
-87.00 -94.00 -35.00 | -84.00 -41.00 -21.00
-88.00 -93.00 -32.00 | -84.00 -42.00 -18.00
-88.00 -93.00 -29.00 | -85.00 -40.00 -14.00
-89.00 -93.00 -28.00 | -86.00 -40.00 -12.00
-90.00 -92.00 -24.00 | -86.00 -38.00 -8.00
-89.00 -92.00 -19.00 | -87.00 -39.00 -4.00
-90.00 -92.00 -17.00 | -87.00 -37.00 -1.00
-89.00 -92.00 -14.00 | -86.00 -39.00 1.00
-89.00 -92.00 -10.00 | -86.00 -38.00 5.00
-90.00 -92.00 -8.00 | -86.00 -37.00 9.00
-89.00 -92.00 -2.00 | -84.00 -38.00 12.00
-88.00 -91.00 2.00 | -81.00 -36.00 18.00
-86.00 -92.00 4.00 | -80.00 -37.00 21.00
-85.00 -91.00 8.00 | -80.00 -35.00 23.00
-82.00 -93.00 10.00 | -77.00 -36.00 26.00
-82.00 -92.00 12.00 | -75.00 -35.00 30.00
-80.00 -93.00 16.00 | -74.00 -36.00 33.00
-77.00 -93.00 20.00 | -73.00 -36.00 35.00
-75.00 -93.00 24.00 | -69.00 -36.00 40.00
-74.00 -93.00 25.00 | -68.00 -35.00 42.00
-72.00 -94.00 27.00 | -65.00 -35.00 41.00
-69.00 -95.00 27.00 | -63.00 -36.00 43.00
-68.00 -95.00 28.00 | -62.00 -36.00 45.00
-67.00 -94.00 32.00 | -60.00 -36.00 47.00
-65.00 -94.00 34.00 | -58.00 -35.00 50.00
-63.00 -95.00 35.00 | -54.00 -35.00 51.00
-60.00 -95.00 37.00 | -54.00 -36.00 52.00
-58.00 -96.00 37.00 | -49.00 -36.00 54.00
-55.00 -97.00 39.00 | -46.00 -37.00 56.00
-51.00 -96.00 41.00 | -42.00 -38.00 57.00
-47.00 -98.00 43.00 | -39.00 -38.00 58.00
-45.00 -96.00 44.00 | -36.00 -38.00 60.00
-41.00 -98.00 45.00 | -30.00 -39.00 62.00
-35.00 -98.00 47.00 | -27.00 -39.00 62.00
-33.00 -98.00 49.00 | -21.00 -39.00 63.00
-27.00 -99.00 49.00 | -16.00 -41.00 62.00
-24.00 -101.00 47.00 | -15.00 -42.00 62.00
-22.00 -102.00 46.00 | -10.00 -45.00 60.00
-16.00 -104.00 43.00 | -5.00 -47.00 56.00
-10.00 -106.00 42.00 | -1.00 -47.00 56.00
-8.00 -105.00 42.00 | 2.00 -49.00 55.00
1.00 -105.00 40.00 | 11.00 -50.00 52.00
5.00 -106.00 37.00 | 16.00 -52.00 50.00
7.00 -107.00 36.00 | 18.00 -51.00 48.00
11.00 -107.00 36.00 | 21.00 -53.00 47.00
14.00 -108.00 33.00 | 24.00 -54.00 42.00
16.00 -108.00 32.00 | 26.00 -55.00 42.00
19.00 -108.00 31.00 | 29.00 -54.00 41.00
21.00 -109.00 28.00 | 30.00 -55.00 37.00
22.00 -108.00 26.00 | 33.00 -56.00 35.00
26.00 -110.00 21.00 | 34.00 -57.00 31.00
26.00 -111.00 19.00 | 34.00 -59.00 28.00
27.00 -110.00 20.00 | 36.00 -59.00 28.00
28.00 -111.00 14.00 | 36.00 -60.00 23.00
30.00 -113.00 8.00 | 39.00 -62.00 16.00
33.00 -113.00 4.00 | 40.00 -63.00 10.00
34.00 -113.00 1.00 | 40.00 -63.00 8.00
36.00 -112.00 -4.00 | 42.00 -63.00 3.00
38.00 -112.00 -10.00 | 44.00 -64.00 -2.00
38.00 -113.00 -13.00 | 43.00 -64.00 -6.00
37.00 -114.00 -19.00 | 42.00 -66.00 -12.00
37.00 -114.00 -23.00 | 41.00 -67.00 -16.00
38.00 -114.00 -26.00 | 42.00 -66.00 -19.00
35.00 -113.00 -30.00 | 39.00 -66.00 -25.00
35.00 -113.00 -36.00 | 38.00 -67.00 -31.00
35.00 -113.00 -38.00 | 37.00 -67.00 -34.00
34.00 -112.00 -42.00 | 36.00 -67.00 -37.00
34.00 -111.00 -44.00 | 35.00 -67.00 -39.00
32.00 -111.00 -50.00 | 33.00 -67.00 -44.00
30.00 -111.00 -52.00 | 28.00 -67.00 -50.00
25.00 -110.00 -57.00 | 26.00 -67.00 -51.00
23.00 -111.00 -60.00 | 23.00 -66.00 -54.00
23.00 -109.00 -61.00 | 20.00 -66.00 -56.00
18.00 -109.00 -64.00 | 17.00 -66.00 -58.00
16.00 -109.00 -68.00 | 13.00 -66.00 -61.00
16.00 -109.00 -67.00 | 15.00 -66.00 -61.00
18.00 -109.00 -66.00 | 16.00 -66.00 -59.00


23.00 -108.00 -66.00 | 10.00 -60.00 -77.00
28.00 -106.00 -67.00 | 13.00 -60.00 -77.00
21.00 -105.00 -69.00 | 7.00 -59.00 -78.00
19.00 -107.00 -70.00 | 4.00 -59.00 -79.00
22.00 -106.00 -69.00 | 6.00 -60.00 -78.00
24.00 -104.00 -74.00 | 9.00 -57.00 -81.00
22.00 -105.00 -72.00 | 1.00 -59.00 -80.00
12.00 -107.00 -73.00 | -6.00 -59.00 -80.00
9.00 -107.00 -74.00 | -10.00 -59.00 -79.00
9.00 -105.00 -75.00 | -9.00 -57.00 -81.00
8.00 -105.00 -75.00 | -11.00 -58.00 -81.00
5.00 -104.00 -78.00 | -13.00 -58.00 -82.00
4.00 -104.00 -79.00 | -16.00 -57.00 -83.00
-1.00 -103.00 -80.00 | -19.00 -55.00 -85.00
-2.00 -103.00 -81.00 | -21.00 -55.00 -85.00
-4.00 -102.00 -81.00 | -23.00 -55.00 -84.00
-6.00 -102.00 -83.00 | -24.00 -54.00 -84.00
-7.00 -102.00 -82.00 | -28.00 -54.00 -83.00
-13.00 -102.00 -82.00 | -30.00 -53.00 -83.00
-15.00 -101.00 -83.00 | -35.00 -52.00 -83.00
-18.00 -101.00 -84.00 | -36.00 -51.00 -84.00
-21.00 -100.00 -85.00 | -39.00 -50.00 -84.00
-23.00 -100.00 -86.00 | -42.00 -49.00 -84.00
-27.00 -100.00 -84.00 | -46.00 -48.00 -81.00
-30.00 -99.00 -84.00 | -48.00 -48.00 -82.00
-33.00 -99.00 -85.00 | -50.00 -46.00 -82.00
-36.00 -99.00 -84.00 | -55.00 -47.00 -80.00
-40.00 -98.00 -83.00 | -57.00 -44.00 -79.00
-43.00 -96.00 -84.00 | -59.00 -44.00 -79.00
-44.00 -97.00 -83.00 | -63.00 -42.00 -77.00
-49.00 -97.00 -81.00 | -65.00 -42.00 -75.00
-52.00 -97.00 -79.00 | -67.00 -41.00 -73.00
-53.00 -96.00 -79.00 | -70.00 -40.00 -71.00
-57.00 -95.00 -77.00 | -73.00 -39.00 -69.00
-60.00 -96.00 -76.00 | -74.00 -39.00 -68.00
-62.00 -96.00 -75.00 | -78.00 -38.00 -65.00
-65.00 -95.00 -72.00 | -79.00 -37.00 -61.00
-68.00 -93.00 -69.00 | -84.00 -35.00 -59.00
-69.00 -93.00 -68.00 | -83.00 -36.00 -58.00
-72.00 -93.00 -66.00 | -85.00 -35.00 -55.00
-74.00 -93.00 -63.00 | -87.00 -35.00 -51.00
-74.00 -93.00 -62.00 | -88.00 -35.00 -49.00
-77.00 -93.00 -60.00 | -89.00 -34.00 -47.00
-81.00 -93.00 -55.00 | -92.00 -34.00 -42.00
-82.00 -92.00 -53.00 | -92.00 -33.00 -40.00
-84.00 -93.00 -50.00 | -93.00 -33.00 -36.00
-85.00 -92.00 -45.00 | -93.00 -33.00 -31.00
-84.00 -93.00 -42.00 | -93.00 -35.00 -28.00
-86.00 -94.00 -40.00 | -93.00 -34.00 -26.00
-86.00 -94.00 -38.00 | -93.00 -34.00 -23.00
-88.00 -92.00 -34.00 | -94.00 -33.00 -20.00
-88.00 -93.00 -32.00 | -94.00 -33.00 -17.00
-88.00 -93.00 -27.00 | -93.00 -32.00 -12.00
-89.00 -94.00 -19.00 | -93.00 -33.00 -8.00
-87.00 -94.00 -16.00 | -91.00 -34.00 -1.00
-86.00 -95.00 -10.00 | -88.00 -35.00 4.00
-86.00 -95.00 -8.00 | -87.00 -35.00 6.00
-85.00 -94.00 -5.00 | -85.00 -36.00 10.00
-82.00 -95.00 0.00 | -83.00 -36.00 14.00
-80.00 -97.00 5.00 | -79.00 -38.00 19.00
-78.00 -96.00 6.00 | -77.00 -38.00 23.00
-79.00 -95.00 12.00 | -79.00 -36.00 26.00
-79.00 -94.00 15.00 | -75.00 -36.00 29.00
-75.00 -96.00 17.00 | -68.00 -39.00 32.00
-72.00 -95.00 20.00 | -69.00 -39.00 34.00
-70.00 -97.00 22.00 | -66.00 -39.00 36.00
-70.00 -97.00 24.00 | -66.00 -39.00 36.00
-74.00 -93.00 26.00 | -68.00 -35.00 40.00
-74.00 -94.00 22.00 | -70.00 -37.00 36.00
-81.00 -91.00 18.00 | -76.00 -34.00 33.00
-82.00 -87.00 23.00 | -78.00 -29.00 36.00
-66.00 -99.00 23.00 | -57.00 -35.00 49.00
-70.00 -95.00 26.00 | -64.00 -32.00 50.00
-71.00 -91.00 31.00 | -63.00 -32.00 51.00
-62.00 -94.00 36.00 | -55.00 -35.00 53.00
-58.00 -96.00 38.00 | -47.00 -36.00 55.00
-54.00 -95.00 41.00 | -44.00 -37.00 56.00
-49.00 -95.00 45.00 | -39.00 -37.00 59.00
-47.00 -95.00 46.00 | -36.00 -38.00 59.00
-45.00 -96.00 46.00 | -34.00 -38.00 60.00
-41.00 -98.00 46.00 | -31.00 -41.00 58.00
-39.00 -98.00 45.00 | -27.00 -43.00 56.00
-33.00 -99.00 45.00 | -23.00 -44.00 56.00
-27.00 -100.00 47.00 | -18.00 -46.00 55.00
-24.00 -101.00 47.00 | -14.00 -45.00 55.00
-22.00 -102.00 46.00 | -10.00 -49.00 53.00
-19.00 -103.00 45.00 | -10.00 -50.00 52.00
-13.00 -103.00 45.00 | -4.00 -51.00 50.00
-10.00 -103.00 45.00 | 2.00 -52.00 48.00
-4.00 -103.00 44.00 | 6.00 -53.00 48.00
-2.00 -104.00 43.00 | 8.00 -54.00 44.00
2.00 -105.00 41.00 | 13.00 -56.00 42.00
8.00 -105.00 39.00 | 15.00 -55.00 40.00
11.00 -104.00 40.00 | 21.00 -57.00 39.00
16.00 -104.00 38.00 | 24.00 -56.00 37.00
18.00 -104.00 36.00 | 26.00 -57.00 35.00
23.00 -105.00 34.00 | 28.00 -59.00 30.00
25.00 -105.00 33.00 | 31.00 -59.00 27.00
26.00 -105.00 31.00 | 31.00 -60.00 25.00
29.00 -105.00 28.00 | 33.00 -61.00 22.00
30.00 -106.00 26.00 | 34.00 -61.00 20.00
30.00 -106.00 25.00 | 33.00 -62.00 19.00
30.00 -107.00 21.00 | 33.00 -62.00 16.00
31.00 -109.00 19.00 | 32.00 -65.00 11.00
33.00 -110.00 13.00 | 33.00 -66.00 5.00
33.00 -111.00 12.00 | 32.00 -66.00 4.00
34.00 -111.00 9.00 | 33.00 -66.00 0.00
