0.00 -72.00 -80.00 | 15.00 -20.00 -90.00
-47.00 -70.00 -75.00 | -38.00 -18.00 -83.00
-75.00 -68.00 -37.00 | -68.00 -18.00 -36.00


-69.00 -118.00 4.00 | -53.00 -71.00 12.00
-39.00 -116.00 31.00 | -17.00 -75.00 39.00
0.00 -121.00 28.00 | 24.00 -79.00 34.00
36.00 -122.00 -2.00 | 59.00 -78.00 -2.00
36.00 -123.00 -47.00 | 52.00 -70.00 -49.00
4.00 -124.00 -76.00 | 19.00 -68.00 -78.00
-44.00 -124.00 -76.00 | -27.00 -67.00 -73.00
-70.00 -122.00 -43.00 | -52.00 -70.00 -38.00


-81.00 -118.00 18.00 | -64.00 -67.00 25.00
-47.00 -123.00 42.00 | -23.00 -72.00 52.00
7.00 -124.00 46.00 | 34.00 -74.00 49.00
65.00 -119.00 -8.00 | 86.00 -70.00 -13.00
46.00 -122.00 -61.00 | 60.00 -74.00 -66.00
-1.00 -122.00 -94.00 | 15.00 -74.00 -96.00
-67.00 -120.00 -80.00 | -50.00 -73.00 -79.00
-91.00 -120.00 -28.00 | -75.00 -71.00 -24.00


-85.00 -90.00 10.00 | -70.00 -52.00 16.00
-47.00 -94.00 50.00 | -26.00 -48.00 56.00
14.00 -102.00 48.00 | 38.00 -48.00 49.00
48.00 -107.00 11.00 | 69.00 -51.00 5.00
52.00 -105.00 -53.00 | 68.00 -48.00 -62.00
11.00 -101.00 -91.00 | 23.00 -50.00 -96.00
-52.00 -96.00 -87.00 | -39.00 -52.00 -88.00
-88.00 -92.00 -41.00 | -75.00 -51.00 -38.00


-70.00 -58.00 16.00 | -55.00 -21.00 22.00
-30.00 -67.00 44.00 | -10.00 -25.00 46.00
24.00 -72.00 32.00 | 43.00 -23.00 30.00
51.00 -76.00 -19.00 | 67.00 -21.00 -26.00
34.00 -75.00 -67.00 | 46.00 -17.00 -74.00
-13.00 -70.00 -88.00 | -2.00 -18.00 -93.00
-58.00 -68.00 -68.00 | -48.00 -22.00 -70.00
-80.00 -64.00 -30.00 | -69.00 -22.00 -28.00


-84.00 -58.00 -1.00 | -71.00 -23.00 6.00
-51.00 -61.00 43.00 | -32.00 -20.00 49.00
11.00 -70.00 45.00 | 32.00 -18.00 48.00
52.00 -76.00 0.00 | 71.00 -18.00 -1.00
48.00 -79.00 -50.00 | 64.00 -19.00 -55.00
21.00 -71.00 -84.00 | 34.00 -17.00 -88.00
-48.00 -60.00 -89.00 | -38.00 -18.00 -89.00
-82.00 -56.00 -55.00 | -73.00 -17.00 -49.00


-56.00 -68.00 18.00 | -40.00 -18.00 21.00
-22.00 -68.00 36.00 | -3.00 -23.00 36.00
23.00 -72.00 19.00 | 42.00 -31.00 15.00
40.00 -71.00 -20.00 | 56.00 -31.00 -27.00
22.00 -71.00 -56.00 | 36.00 -26.00 -64.00
-19.00 -75.00 -71.00 | -6.00 -26.00 -77.00
-58.00 -75.00 -54.00 | -46.00 -21.00 -57.00
-67.00 -79.00 -14.00 | -52.00 -24.00 -11.00


-68.00 -86.00 6.00 | -49.00 -39.00 12.00
-36.00 -92.00 32.00 | -15.00 -40.00 33.00
9.00 -97.00 24.00 | 29.00 -46.00 23.00
33.00 -97.00 -1.00 | 51.00 -47.00 -2.00
32.00 -92.00 -45.00 | 49.00 -45.00 -50.00
6.00 -93.00 -66.00 | 21.00 -48.00 -72.00
-48.00 -89.00 -65.00 | -36.00 -46.00 -68.00
-69.00 -90.00 -32.00 | -55.00 -43.00 -29.00


-44.00 -51.00 22.00 | -29.00 -9.00 32.00
-8.00 -61.00 31.00 | 14.00 -13.00 32.00
28.00 -64.00 12.00 | 45.00 -14.00 9.00
38.00 -65.00 -27.00 | 49.00 -15.00 -31.00
16.00 -62.00 -67.00 | 28.00 -11.00 -67.00
-22.00 -62.00 -73.00 | -6.00 -15.00 -73.00
-54.00 -62.00 -52.00 | -43.00 -16.00 -54.00
-62.00 -61.00 -10.00 | -51.00 -14.00 -5.00


-14.00 -65.00 93.00 | 38.00 -19.00 142.00
69.00 -73.00 69.00 | 118.00 -24.00 54.00
119.00 -85.00 -15.00 | 114.00 -32.00 -36.00
77.00 -81.00 -135.00 | 65.00 -27.00 -103.00
-29.00 -57.00 -173.00 | 1.00 -11.00 -140.00
-116.00 -68.00 -111.00 | -76.00 -23.00 -116.00
-133.00 -63.00 -14.00 | -142.00 -18.00 -16.00
-84.00 -63.00 56.00 | -84.00 -17.00 108.00


