19.00 -91.00 -64.00 | 25.00 -40.00 -72.00
46.00 -93.00 -6.00 | 55.00 -45.00 -10.00
47.00 -94.00 -12.00 | 57.00 -46.00 -16.00
48.00 -94.00 -14.00 | 56.00 -45.00 -19.00
47.00 -95.00 -21.00 | 56.00 -46.00 -25.00
49.00 -94.00 -24.00 | 57.00 -45.00 -30.00
47.00 -94.00 -27.00 | 55.00 -45.00 -33.00
46.00 -94.00 -33.00 | 55.00 -45.00 -37.00
44.00 -95.00 -35.00 | 53.00 -45.00 -40.00
42.00 -95.00 -41.00 | 51.00 -45.00 -46.00
40.00 -96.00 -44.00 | 48.00 -46.00 -51.00
39.00 -95.00 -47.00 | 47.00 -47.00 -53.00
37.00 -95.00 -50.00 | 45.00 -46.00 -56.00
35.00 -95.00 -54.00 | 41.00 -46.00 -60.00
34.00 -96.00 -55.00 | 40.00 -45.00 -61.00
31.00 -97.00 -57.00 | 38.00 -46.00 -64.00
29.00 -96.00 -59.00 | 33.00 -46.00 -67.00
24.00 -96.00 -61.00 | 32.00 -46.00 -67.00
23.00 -97.00 -63.00 | 28.00 -46.00 -71.00
18.00 -96.00 -65.00 | 24.00 -46.00 -71.00
18.00 -97.00 -66.00 | 25.00 -46.00 -73.00
18.00 -96.00 -66.00 | 25.00 -46.00 -72.00
18.00 -97.00 -64.00 | 25.00 -46.00 -71.00
20.00 -97.00 -63.00 | 27.00 -46.00 -70.00
22.00 -97.00 -62.00 | 28.00 -47.00 -68.00
25.00 -97.00 -60.00 | 31.00 -46.00 -67.00
33.00 -96.00 -53.00 | 39.00 -46.00 -60.00
38.00 -97.00 -46.00 | 51.00 -45.00 -45.00
46.00 -95.00 -27.00 | 56.00 -45.00 -34.00


19.00 -98.00 -64.00 | 26.00 -47.00 -70.00
17.00 -98.00 -66.00 | 24.00 -46.00 -73.00
16.00 -99.00 -65.00 | 22.00 -47.00 -72.00
19.00 -99.00 -64.00 | 27.00 -47.00 -70.00
21.00 -98.00 -65.00 | 28.00 -47.00 -71.00
19.00 -98.00 -66.00 | 26.00 -46.00 -74.00
12.00 -98.00 -69.00 | 18.00 -46.00 -75.00
11.00 -98.00 -70.00 | 18.00 -45.00 -76.00
7.00 -98.00 -71.00 | 13.00 -45.00 -79.00
0.00 -98.00 -73.00 | 6.00 -46.00 -79.00
-2.00 -98.00 -74.00 | 4.00 -46.00 -80.00
-8.00 -97.00 -73.00 | -2.00 -45.00 -80.00
-13.00 -97.00 -75.00 | -8.00 -46.00 -80.00
-16.00 -96.00 -73.00 | -11.00 -45.00 -80.00
-18.00 -96.00 -74.00 | -16.00 -44.00 -80.00
-22.00 -96.00 -74.00 | -17.00 -44.00 -79.00
-26.00 -97.00 -73.00 | -22.00 -44.00 -79.00
-29.00 -95.00 -73.00 | -27.00 -43.00 -79.00
-34.00 -95.00 -73.00 | -29.00 -42.00 -77.00
-39.00 -94.00 -71.00 | -34.00 -43.00 -77.00
