-27.00 -131.00 62.00 | -4.00 -84.00 65.00
-21.00 -133.00 61.00 | 1.00 -86.00 62.00
-19.00 -134.00 60.00 | 6.00 -88.00 59.00
-16.00 -136.00 56.00 | 8.00 -89.00 57.00
-11.00 -138.00 52.00 | 11.00 -90.00 53.00
-8.00 -138.00 51.00 | 14.00 -93.00 48.00
-7.00 -140.00 49.00 | 14.00 -93.00 48.00
-3.00 -140.00 49.00 | 17.00 -94.00 47.00
-2.00 -140.00 48.00 | 21.00 -94.00 47.00
3.00 -141.00 47.00 | 25.00 -94.00 44.00
9.00 -141.00 43.00 | 28.00 -93.00 41.00
13.00 -143.00 41.00 | 31.00 -94.00 38.00
15.00 -142.00 39.00 | 34.00 -95.00 37.00
20.00 -143.00 38.00 | 36.00 -94.00 35.00
22.00 -142.00 35.00 | 39.00 -95.00 33.00
25.00 -143.00 33.00 | 44.00 -95.00 30.00
30.00 -143.00 28.00 | 47.00 -94.00 28.00
30.00 -145.00 25.00 | 46.00 -96.00 22.00
32.00 -145.00 19.00 | 49.00 -96.00 16.00
34.00 -147.00 13.00 | 49.00 -98.00 12.00
37.00 -147.00 11.00 | 52.00 -98.00 8.00
39.00 -146.00 5.00 | 55.00 -98.00 2.00
42.00 -147.00 1.00 | 57.00 -97.00 -1.00
44.00 -146.00 -1.00 | 58.00 -97.00 -3.00
44.00 -145.00 -4.00 | 59.00 -97.00 -5.00
45.00 -146.00 -7.00 | 59.00 -97.00 -8.00
43.00 -146.00 -11.00 | 59.00 -97.00 -11.00
45.00 -147.00 -15.00 | 58.00 -97.00 -15.00
44.00 -148.00 -19.00 | 60.00 -97.00 -19.00
44.00 -147.00 -21.00 | 59.00 -98.00 -21.00
45.00 -146.00 -23.00 | 60.00 -96.00 -24.00
46.00 -146.00 -24.00 | 61.00 -96.00 -25.00
46.00 -147.00 -24.00 | 62.00 -96.00 -25.00
45.00 -147.00 -24.00 | 61.00 -96.00 -24.00


28.00 -151.00 28.00 | 49.00 -93.00 33.00
27.00 -150.00 29.00 | 49.00 -91.00 34.00
29.00 -151.00 26.00 | 50.00 -92.00 32.00
32.00 -149.00 29.00 | 54.00 -90.00 33.00
33.00 -147.00 31.00 | 54.00 -89.00 36.00
34.00 -149.00 28.00 | 54.00 -90.00 34.00
31.00 -150.00 24.00 | 53.00 -93.00 29.00
32.00 -151.00 23.00 | 53.00 -93.00 27.00
35.00 -151.00 21.00 | 56.00 -93.00 25.00
36.00 -152.00 16.00 | 58.00 -94.00 21.00
37.00 -153.00 13.00 | 60.00 -94.00 15.00
38.00 -153.00 7.00 | 60.00 -95.00 11.00
38.00 -154.00 3.00 | 61.00 -95.00 7.00
38.00 -155.00 0.00 | 60.00 -96.00 4.00
39.00 -154.00 -2.00 | 61.00 -96.00 1.00
39.00 -154.00 -4.00 | 60.00 -96.00 -2.00
38.00 -156.00 -8.00 | 60.00 -96.00 -5.00
38.00 -156.00 -12.00 | 61.00 -96.00 -9.00
37.00 -156.00 -15.00 | 60.00 -97.00 -15.00
38.00 -156.00 -21.00 | 60.00 -98.00 -19.00
39.00 -157.00 -26.00 | 61.00 -97.00 -25.00
39.00 -155.00 -29.00 | 62.00 -97.00 -30.00
40.00 -156.00 -32.00 | 61.00 -97.00 -32.00
40.00 -154.00 -35.00 | 61.00 -97.00 -38.00
41.00 -155.00 -39.00 | 64.00 -94.00 -43.00
36.00 -155.00 -46.00 | 54.00 -97.00 -50.00
32.00 -156.00 -50.00 | 54.00 -97.00 -52.00
31.00 -154.00 -51.00 | 51.00 -97.00 -57.00
31.00 -153.00 -57.00 | 50.00 -97.00 -62.00
30.00 -153.00 -62.00 | 48.00 -96.00 -64.00
30.00 -152.00 -63.00 | 49.00 -95.00 -69.00
29.00 -152.00 -66.00 | 46.00 -95.00 -70.00
26.00 -152.00 -68.00 | 43.00 -95.00 -72.00
24.00 -152.00 -69.00 | 39.00 -95.00 -75.00
20.00 -153.00 -72.00 | 35.00 -96.00 -79.00
17.00 -150.00 -76.00 | 34.00 -96.00 -79.00
15.00 -151.00 -77.00 | 29.00 -95.00 -81.00
11.00 -151.00 -78.00 | 24.00 -96.00 -82.00
8.00 -151.00 -79.00 | 22.00 -96.00 -84.00
4.00 -150.00 -82.00 | 20.00 -96.00 -85.00
2.00 -149.00 -83.00 | 14.00 -95.00 -88.00
-2.00 -147.00 -87.00 | 10.00 -94.00 -93.00
-7.00 -144.00 -92.00 | 6.00 -93.00 -94.00
-10.00 -145.00 -92.00 | 0.00 -94.00 -96.00
-14.00 -146.00 -91.00 | -5.00 -95.00 -92.00
-18.00 -145.00 -90.00 | -9.00 -95.00 -91.00
-21.00 -145.00 -91.00 | -14.00 -94.00 -92.00
-28.00 -144.00 -91.00 | -19.00 -94.00 -92.00
-31.00 -142.00 -92.00 | -28.00 -94.00 -90.00
-39.00 -140.00 -91.00 | -33.00 -92.00 -90.00
-46.00 -138.00 -92.00 | -40.00 -92.00 -89.00
-51.00 -138.00 -90.00 | -45.00 -92.00 -86.00
-54.00 -137.00 -89.00 | -48.00 -91.00 -85.00
-58.00 -137.00 -88.00 | -52.00 -91.00 -83.00
-64.00 -135.00 -85.00 | -57.00 -90.00 -80.00
-64.00 -134.00 -86.00 | -59.00 -90.00 -79.00
-70.00 -132.00 -83.00 | -65.00 -88.00 -76.00
-76.00 -130.00 -82.00 | -68.00 -89.00 -74.00
-77.00 -131.00 -80.00 | -71.00 -88.00 -73.00
-78.00 -131.00 -78.00 | -70.00 -89.00 -70.00
-82.00 -130.00 -76.00 | -75.00 -88.00 -66.00
-85.00 -129.00 -73.00 | -78.00 -87.00 -63.00
-86.00 -128.00 -72.00 | -77.00 -87.00 -62.00
-88.00 -127.00 -71.00 | -80.00 -87.00 -62.00
-91.00 -126.00 -69.00 | -83.00 -86.00 -56.00
-94.00 -126.00 -65.00 | -85.00 -86.00 -55.00
-96.00 -127.00 -60.00 | -84.00 -87.00 -48.00
-96.00 -127.00 -58.00 | -85.00 -88.00 -46.00
-99.00 -127.00 -52.00 | -88.00 -87.00 -39.00
-102.00 -126.00 -48.00 | -88.00 -88.00 -35.00
-100.00 -127.00 -46.00 | -86.00 -89.00 -34.00
-100.00 -127.00 -42.00 | -90.00 -87.00 -24.00
-106.00 -124.00 -36.00 | -92.00 -85.00 -21.00
-105.00 -125.00 -32.00 | -91.00 -87.00 -17.00
-106.00 -126.00 -29.00 | -90.00 -87.00 -15.00
-103.00 -127.00 -24.00 | -86.00 -87.00 -10.00
-104.00 -127.00 -17.00 | -85.00 -89.00 -4.00
-105.00 -126.00 -14.00 | -88.00 -87.00 0.00
-107.00 -125.00 -7.00 | -88.00 -86.00 6.00
-102.00 -128.00 -3.00 | -83.00 -88.00 10.00
-100.00 -127.00 0.00 | -81.00 -88.00 13.00
-99.00 -127.00 8.00 | -78.00 -87.00 21.00
-99.00 -126.00 11.00 | -77.00 -86.00 26.00
-95.00 -128.00 17.00 | -72.00 -87.00 31.00
-91.00 -128.00 24.00 | -70.00 -87.00 35.00
-88.00 -128.00 29.00 | -66.00 -86.00 40.00
-86.00 -129.00 33.00 | -62.00 -88.00 45.00
-81.00 -130.00 36.00 | -60.00 -87.00 46.00
-77.00 -131.00 39.00 | -55.00 -88.00 48.00
-75.00 -132.00 40.00 | -51.00 -88.00 50.00
-71.00 -132.00 42.00 | -48.00 -89.00 52.00
-68.00 -132.00 45.00 | -45.00 -88.00 53.00
-67.00 -133.00 46.00 | -43.00 -88.00 55.00
-63.00 -134.00 49.00 | -40.00 -88.00 56.00
-59.00 -133.00 51.00 | -36.00 -88.00 59.00
-53.00 -134.00 53.00 | -31.00 -89.00 60.00
-50.00 -135.00 54.00 | -27.00 -87.00 63.00
-45.00 -134.00 58.00 | -23.00 -88.00 65.00
-43.00 -134.00 60.00 | -18.00 -87.00 66.00
-36.00 -135.00 61.00 | -11.00 -86.00 68.00
-28.00 -136.00 61.00 | -9.00 -87.00 67.00
-25.00 -138.00 59.00 | 0.00 -89.00 64.00
-18.00 -139.00 59.00 | 5.00 -88.00 64.00
-13.00 -140.00 59.00 | 7.00 -88.00 64.00
-10.00 -139.00 59.00 | 13.00 -87.00 64.00
-6.00 -140.00 60.00 | 18.00 -88.00 65.00
1.00 -140.00 59.00 | 20.00 -87.00 64.00
6.00 -140.00 58.00 | 26.00 -87.00 63.00
9.00 -141.00 56.00 | 30.00 -87.00 60.00
13.00 -142.00 53.00 | 35.00 -88.00 57.00
16.00 -144.00 49.00 | 36.00 -89.00 54.00
18.00 -145.00 48.00 | 39.00 -89.00 51.00
22.00 -145.00 46.00 | 43.00 -89.00 50.00
25.00 -146.00 42.00 | 46.00 -89.00 46.00
27.00 -146.00 40.00 | 50.00 -89.00 44.00
32.00 -147.00 38.00 | 52.00 -88.00 41.00
32.00 -148.00 36.00 | 53.00 -89.00 39.00
34.00 -148.00 31.00 | 54.00 -91.00 35.00
36.00 -149.00 28.00 | 58.00 -92.00 31.00
37.00 -149.00 25.00 | 59.00 -92.00 27.00


29.00 -121.00 30.00 | 52.00 -63.00 26.00
31.00 -117.00 36.00 | 51.00 -60.00 32.00
31.00 -115.00 41.00 | 52.00 -59.00 34.00
33.00 -116.00 41.00 | 53.00 -58.00 34.00
29.00 -116.00 41.00 | 50.00 -60.00 34.00
31.00 -118.00 38.00 | 51.00 -60.00 33.00
33.00 -118.00 37.00 | 53.00 -60.00 30.00
33.00 -119.00 33.00 | 54.00 -62.00 25.00
35.00 -120.00 28.00 | 54.00 -62.00 24.00
36.00 -121.00 26.00 | 56.00 -64.00 19.00
37.00 -122.00 21.00 | 55.00 -65.00 13.00
38.00 -123.00 16.00 | 56.00 -66.00 11.00
38.00 -124.00 14.00 | 57.00 -67.00 3.00
41.00 -125.00 4.00 | 58.00 -68.00 -4.00
42.00 -126.00 1.00 | 59.00 -68.00 -7.00
43.00 -127.00 -6.00 | 58.00 -68.00 -13.00
44.00 -125.00 -11.00 | 59.00 -68.00 -17.00
47.00 -124.00 -14.00 | 61.00 -68.00 -22.00
49.00 -124.00 -17.00 | 64.00 -66.00 -27.00
50.00 -123.00 -22.00 | 64.00 -67.00 -29.00
50.00 -124.00 -25.00 | 62.00 -67.00 -32.00
46.00 -125.00 -32.00 | 60.00 -68.00 -39.00
45.00 -124.00 -36.00 | 58.00 -68.00 -44.00
46.00 -122.00 -44.00 | 58.00 -66.00 -51.00
45.00 -120.00 -52.00 | 56.00 -66.00 -59.00
38.00 -120.00 -61.00 | 50.00 -67.00 -67.00
36.00 -120.00 -63.00 | 44.00 -67.00 -73.00
30.00 -119.00 -70.00 | 41.00 -67.00 -75.00
24.00 -117.00 -79.00 | 34.00 -65.00 -85.00
20.00 -115.00 -83.00 | 31.00 -64.00 -88.00
16.00 -114.00 -86.00 | 26.00 -63.00 -93.00
10.00 -115.00 -87.00 | 20.00 -65.00 -92.00
6.00 -114.00 -87.00 | 17.00 -65.00 -92.00
1.00 -113.00 -91.00 | 12.00 -64.00 -95.00
-6.00 -112.00 -92.00 | 3.00 -64.00 -96.00
-10.00 -111.00 -93.00 | 0.00 -64.00 -97.00
-14.00 -111.00 -93.00 | -3.00 -64.00 -98.00
-19.00 -110.00 -94.00 | -8.00 -63.00 -98.00
-22.00 -109.00 -94.00 | -12.00 -63.00 -99.00
-25.00 -108.00 -95.00 | -16.00 -64.00 -99.00
-27.00 -108.00 -94.00 | -18.00 -63.00 -98.00
-31.00 -108.00 -94.00 | -22.00 -63.00 -97.00
-33.00 -107.00 -94.00 | -24.00 -63.00 -97.00
-36.00 -107.00 -92.00 | -27.00 -62.00 -97.00
-36.00 -107.00 -92.00 | -30.00 -63.00 -95.00
-39.00 -106.00 -92.00 | -30.00 -63.00 -95.00
-42.00 -106.00 -91.00 | -32.00 -62.00 -94.00
-43.00 -105.00 -89.00 | -37.00 -63.00 -93.00
-48.00 -104.00 -90.00 | -41.00 -61.00 -93.00
-50.00 -104.00 -89.00 | -41.00 -61.00 -93.00
-53.00 -103.00 -87.00 | -45.00 -61.00 -91.00
-56.00 -103.00 -86.00 | -48.00 -61.00 -88.00
-57.00 -104.00 -85.00 | -49.00 -61.00 -88.00
-61.00 -102.00 -84.00 | -52.00 -61.00 -86.00
-62.00 -102.00 -82.00 | -56.00 -60.00 -83.00
-66.00 -102.00 -80.00 | -59.00 -59.00 -82.00
-68.00 -102.00 -77.00 | -60.00 -61.00 -79.00
-69.00 -102.00 -76.00 | -62.00 -61.00 -75.00
-73.00 -102.00 -73.00 | -63.00 -61.00 -75.00
-74.00 -100.00 -73.00 | -68.00 -60.00 -72.00
-76.00 -101.00 -70.00 | -70.00 -59.00 -69.00
-79.00 -100.00 -68.00 | -74.00 -59.00 -66.00
-82.00 -99.00 -63.00 | -76.00 -59.00 -63.00
-84.00 -99.00 -61.00 | -78.00 -59.00 -58.00
-86.00 -99.00 -57.00 | -80.00 -59.00 -54.00
-88.00 -99.00 -54.00 | -80.00 -59.00 -52.00
-88.00 -98.00 -53.00 | -82.00 -59.00 -48.00
-91.00 -98.00 -48.00 | -85.00 -58.00 -44.00
-94.00 -96.00 -42.00 | -86.00 -57.00 -41.00
-96.00 -97.00 -40.00 | -88.00 -57.00 -35.00
-98.00 -95.00 -37.00 | -90.00 -56.00 -30.00
-98.00 -95.00 -30.00 | -90.00 -56.00 -22.00
-102.00 -93.00 -23.00 | -92.00 -55.00 -18.00
-103.00 -93.00 -19.00 | -94.00 -52.00 -9.00
-103.00 -93.00 -12.00 | -92.00 -52.00 -2.00
-101.00 -93.00 -6.00 | -92.00 -52.00 2.00
-100.00 -94.00 -3.00 | -89.00 -52.00 7.00
-100.00 -94.00 1.00 | -87.00 -54.00 12.00
-98.00 -95.00 3.00 | -85.00 -54.00 15.00
-97.00 -95.00 9.00 | -82.00 -54.00 21.00
-93.00 -95.00 15.00 | -79.00 -54.00 27.00
-92.00 -96.00 18.00 | -79.00 -53.00 29.00
-91.00 -96.00 22.00 | -75.00 -53.00 33.00
-88.00 -97.00 26.00 | -72.00 -53.00 37.00
-86.00 -97.00 30.00 | -68.00 -52.00 42.00
-84.00 -97.00 33.00 | -66.00 -53.00 44.00
-80.00 -97.00 37.00 | -61.00 -53.00 48.00
-76.00 -98.00 41.00 | -57.00 -52.00 52.00
-74.00 -97.00 44.00 | -54.00 -53.00 54.00
-68.00 -99.00 48.00 | -48.00 -54.00 57.00
-64.00 -99.00 51.00 | -41.00 -52.00 61.00
-61.00 -100.00 54.00 | -39.00 -52.00 61.00
-57.00 -99.00 55.00 | -34.00 -52.00 64.00
-53.00 -101.00 56.00 | -31.00 -53.00 65.00
-51.00 -101.00 58.00 | -27.00 -53.00 64.00
-46.00 -103.00 60.00 | -22.00 -53.00 66.00
-40.00 -103.00 61.00 | -15.00 -53.00 66.00
-33.00 -104.00 63.00 | -8.00 -54.00 66.00
-31.00 -105.00 62.00 | -6.00 -54.00 66.00
-24.00 -107.00 62.00 | 1.00 -55.00 66.00
-21.00 -107.00 61.00 | 7.00 -56.00 64.00
-15.00 -108.00 61.00 | 10.00 -55.00 63.00
-9.00 -111.00 60.00 | 15.00 -57.00 59.00
-6.00 -112.00 58.00 | 21.00 -58.00 57.00
2.00 -113.00 56.00 | 25.00 -58.00 55.00
6.00 -113.00 54.00 | 32.00 -58.00 52.00
9.00 -113.00 54.00 | 35.00 -59.00 50.00
15.00 -114.00 52.00 | 38.00 -58.00 48.00
17.00 -114.00 51.00 | 40.00 -58.00 48.00
20.00 -114.00 49.00 | 44.00 -58.00 45.00
