50.00 -101.00 -34.00 | 56.00 -45.00 -19.00
25.00 -101.00 -70.00 | 33.00 -46.00 -50.00
-24.00 -102.00 -74.00 | -14.00 -55.00 -56.00
-60.00 -96.00 -54.00 | -58.00 -52.00 -30.00
-61.00 -96.00 -11.00 | -56.00 -45.00 22.00


-26.00 -106.00 42.00 | -3.00 -39.00 82.00
24.00 -114.00 34.00 | 52.00 -49.00 59.00
68.00 -114.00 -13.00 | 81.00 -62.00 2.00
51.00 -106.00 -77.00 | 50.00 -71.00 -54.00
-1.00 -104.00 -103.00 | 1.00 -65.00 -69.00
-63.00 -111.00 -77.00 | -53.00 -69.00 -42.00
-91.00 -110.00 -38.00 | -84.00 -55.00 -3.00
-71.00 -114.00 22.00 | -61.00 -40.00 60.00


-50.00 -77.00 29.00 | -33.00 -19.00 58.00
-11.00 -86.00 38.00 | 10.00 -24.00 58.00
50.00 -84.00 12.00 | 65.00 -27.00 19.00
56.00 -82.00 -42.00 | 60.00 -36.00 -34.00
24.00 -82.00 -79.00 | 28.00 -38.00 -62.00
-32.00 -88.00 -80.00 | -26.00 -46.00 -61.00
-69.00 -83.00 -58.00 | -66.00 -36.00 -36.00
-74.00 -83.00 -6.00 | -65.00 -27.00 22.00


-42.00 -102.00 31.00 | -18.00 -31.00 61.00
2.00 -103.00 39.00 | 23.00 -36.00 51.00
58.00 -95.00 5.00 | 64.00 -39.00 12.00
55.00 -90.00 -53.00 | 61.00 -51.00 -36.00
15.00 -92.00 -85.00 | 25.00 -61.00 -60.00
-34.00 -97.00 -73.00 | -29.00 -61.00 -58.00
-74.00 -92.00 -48.00 | -74.00 -46.00 -24.00
-73.00 -99.00 -2.00 | -62.00 -35.00 31.00


-39.00 -127.00 40.00 | -16.00 -55.00 72.00
17.00 -128.00 39.00 | 31.00 -59.00 57.00
63.00 -120.00 0.00 | 76.00 -57.00 22.00
53.00 -121.00 -49.00 | 72.00 -75.00 -27.00
18.00 -118.00 -87.00 | 29.00 -86.00 -62.00
-39.00 -120.00 -79.00 | -44.00 -82.00 -54.00
-79.00 -114.00 -49.00 | -72.00 -70.00 -9.00
-81.00 -123.00 4.00 | -55.00 -62.00 44.00


-20.00 -121.00 38.00 | 3.00 -47.00 72.00
34.00 -116.00 35.00 | 57.00 -46.00 52.00
63.00 -112.00 -18.00 | 76.00 -60.00 -7.00
43.00 -109.00 -71.00 | 49.00 -74.00 -54.00
0.00 -107.00 -96.00 | 5.00 -72.00 -63.00
-54.00 -107.00 -82.00 | -45.00 -72.00 -51.00
-85.00 -110.00 -25.00 | -73.00 -58.00 7.00
-63.00 -118.00 23.00 | -46.00 -48.00 55.00


-33.00 -106.00 53.00 | -9.00 -35.00 72.00
20.00 -108.00 42.00 | 43.00 -40.00 56.00
64.00 -101.00 -4.00 | 78.00 -47.00 3.00
50.00 -101.00 -66.00 | 59.00 -65.00 -58.00
8.00 -101.00 -91.00 | 11.00 -70.00 -75.00
-50.00 -103.00 -77.00 | -49.00 -63.00 -55.00
-83.00 -102.00 -36.00 | -73.00 -51.00 -10.00
-72.00 -107.00 25.00 | -53.00 -42.00 46.00


-41.00 -113.00 50.00 | -24.00 -41.00 71.00
8.00 -111.00 49.00 | 28.00 -41.00 68.00
50.00 -110.00 12.00 | 73.00 -50.00 24.00
61.00 -107.00 -42.00 | 75.00 -64.00 -40.00
26.00 -103.00 -88.00 | 30.00 -73.00 -77.00
-39.00 -102.00 -92.00 | -38.00 -68.00 -70.00
-80.00 -103.00 -59.00 | -68.00 -61.00 -33.00
-84.00 -110.00 8.00 | -67.00 -48.00 31.00


