45.00 -102.00 -4.00 | 50.00 -46.00 -3.00
44.00 -102.00 -7.00 | 51.00 -47.00 -6.00
46.00 -101.00 -11.00 | 51.00 -46.00 -8.00
45.00 -102.00 -15.00 | 51.00 -46.00 -12.00
45.00 -102.00 -20.00 | 51.00 -46.00 -16.00
45.00 -103.00 -21.00 | 50.00 -46.00 -18.00
45.00 -103.00 -24.00 | 50.00 -47.00 -20.00
44.00 -103.00 -29.00 | 50.00 -46.00 -24.00
43.00 -103.00 -30.00 | 50.00 -47.00 -26.00
40.00 -103.00 -35.00 | 50.00 -46.00 -30.00
40.00 -103.00 -40.00 | 48.00 -46.00 -34.00
38.00 -104.00 -43.00 | 47.00 -46.00 -36.00
36.00 -104.00 -47.00 | 45.00 -46.00 -42.00
33.00 -104.00 -51.00 | 44.00 -47.00 -44.00
30.00 -104.00 -55.00 | 41.00 -48.00 -48.00
30.00 -103.00 -57.00 | 40.00 -46.00 -50.00
25.00 -103.00 -62.00 | 36.00 -47.00 -54.00
21.00 -104.00 -66.00 | 34.00 -47.00 -58.00
17.00 -103.00 -68.00 | 33.00 -48.00 -60.00
13.00 -103.00 -70.00 | 28.00 -48.00 -63.00
12.00 -103.00 -71.00 | 25.00 -49.00 -65.00
6.00 -103.00 -72.00 | 22.00 -48.00 -66.00
2.00 -102.00 -75.00 | 19.00 -49.00 -69.00
0.00 -101.00 -76.00 | 16.00 -47.00 -73.00
-2.00 -100.00 -78.00 | 14.00 -47.00 -75.00
-7.00 -99.00 -81.00 | 6.00 -48.00 -78.00
-13.00 -100.00 -80.00 | 4.00 -48.00 -77.00
-15.00 -99.00 -81.00 | -1.00 -48.00 -78.00
-19.00 -99.00 -81.00 | -6.00 -47.00 -79.00
-23.00 -98.00 -82.00 | -7.00 -47.00 -81.00
-25.00 -97.00 -81.00 | -12.00 -47.00 -80.00
-29.00 -98.00 -79.00 | -16.00 -47.00 -79.00
-33.00 -97.00 -78.00 | -18.00 -47.00 -77.00
-35.00 -98.00 -78.00 | -23.00 -47.00 -78.00
-38.00 -97.00 -77.00 | -25.00 -47.00 -77.00
-42.00 -96.00 -76.00 | -30.00 -46.00 -77.00
-44.00 -96.00 -76.00 | -35.00 -44.00 -76.00
-48.00 -95.00 -75.00 | -40.00 -44.00 -76.00
-52.00 -93.00 -74.00 | -45.00 -44.00 -74.00
-55.00 -92.00 -72.00 | -48.00 -42.00 -74.00
-56.00 -91.00 -71.00 | -52.00 -43.00 -71.00
-59.00 -91.00 -69.00 | -52.00 -41.00 -69.00
-60.00 -91.00 -68.00 | -57.00 -41.00 -68.00
-61.00 -91.00 -66.00 | -59.00 -40.00 -65.00
-64.00 -90.00 -64.00 | -60.00 -41.00 -64.00
-65.00 -90.00 -64.00 | -63.00 -39.00 -62.00
-66.00 -89.00 -62.00 | -66.00 -39.00 -61.00
-69.00 -89.00 -60.00 | -68.00 -38.00 -59.00
-70.00 -87.00 -59.00 | -71.00 -38.00 -55.00
-73.00 -87.00 -56.00 | -74.00 -37.00 -51.00
-74.00 -87.00 -52.00 | -76.00 -37.00 -45.00
-76.00 -86.00 -48.00 | -76.00 -36.00 -44.00
